timestamp;instituicao;dominio_FML;localidade_FML;dominio_INF;localidade_INF;local;entidade;codigo;descricao;mail;t_maxEspera;em_espera_prioritario;em_espera_normal;total;num_dias
20231211122716;IRN;AVEIRO;AVEIRO;Aveiro;Aveiro;CRC Aveiro;REGISTOS;I;Registo Civil - Óbito/Espaço Óbito;--;331;0;1;1;1
20231211122716;IRN;AVEIRO;ESTARREJA;Aveiro;Estarreja;ER Estarreja;REGISTOS;B;Cartão de Cidadão - Levantamento;--;3442;0;4;4;1
20231211122716;IRN;AVEIRO;ESTARREJA;Aveiro;Estarreja;ER Estarreja;REGISTOS;C;Cartão de Cidadão - Outros;--;4117;0;2;2;1
20231211122716;IRN;AVEIRO;ESTARREJA;Aveiro;Estarreja;ER Estarreja;REGISTOS;E;Passaporte - Levantamento / Inf.;--;4753;0;1;1;1
20231211122716;IRN;AVEIRO;ESTARREJA;Aveiro;Estarreja;ER Estarreja;REGISTOS;L;Nacionalidade - Profissionais;--;910;0;1;1;1
20231211122716;IRN;AVEIRO;ESTARREJA;Aveiro;Estarreja;ER Estarreja;REGISTOS;Q;Registo veículos - Certidões / Inf.;--;4273;0;1;1;1
20231211122716;IRN;AVEIRO;ESTARREJA;Aveiro;Estarreja;ER Estarreja;REGISTOS;R;Registo veículos - Pedido;--;403;0;2;2;1
20231211122716;IRN;AVEIRO;ESTARREJA;Aveiro;Estarreja;ER Estarreja;REGISTOS;Z; Certificados /Traduções / Procurações/ Reconhecimentos / Fotocópias/ Instrumentos/ Outros;--;4306;0;1;1;1
20231211122716;IRN;AVEIRO;MEALHADA;Aveiro;Mealhada;Registo Mealhada;REGISTOS;G;Registo Civil - Nascimento;--;1706;0;1;1;1
20231211122716;IRN;AVEIRO;SANTA MARIA DA FEIRA;Aveiro;Santa Maria da Feira;ER-Santa Maria da Feira;REGISTOS;F;Registo Civil - Certidões / Inf.;--;1217;0;1;1;1
20231211122716;IRN;AVEIRO;SANTA MARIA DA FEIRA;Aveiro;Santa Maria da Feira;ER-Santa Maria da Feira;REGISTOS;H;Registo Civil - Casamento / Divórcio/Separação / Outros processos especiais;--;3576;0;2;2;1
20231211122716;IRN;AVEIRO;SANTA MARIA DA FEIRA;Aveiro;Santa Maria da Feira;ER-Santa Maria da Feira;REGISTOS;M;Registo Predial - Certidões / Inf. ;--;5755;0;11;11;1
20231211122716;IRN;AVEIRO;SANTA MARIA DA FEIRA;Aveiro;Santa Maria da Feira;ER-Santa Maria da Feira;REGISTOS;N;Registo Predial - Pedido;--;4838;0;3;3;1
20231211122716;IRN;AVEIRO;SANTA MARIA DA FEIRA;Aveiro;Santa Maria da Feira;ER-Santa Maria da Feira;REGISTOS;T;Registo Comercial - Certidões / Inf.;--;5762;0;2;2;1
20231211122716;IRN;AVEIRO;SANTA MARIA DA FEIRA;Aveiro;Santa Maria da Feira;ER-Santa Maria da Feira;REGISTOS;U;Registo Comercial - Pedido;--;1327;0;1;1;1
20231211122716;IRN;AVEIRO;VAGOS;Aveiro;Vagos;CRCPCom Vagos;REGISTOS;F;Registo Civil - Certidões / Inf.;--;1250;0;2;2;1
20231211122716;IRN;AVEIRO;VAGOS;Aveiro;Vagos;CRCPCom Vagos;REGISTOS;G;Registo Civil - Nascimento;--;2717;0;1;1;1
20231211122716;IRN;AVEIRO;VAGOS;Aveiro;Vagos;CRCPCom Vagos;REGISTOS;I;Registo Civil - Óbito/Espaço Óbito;--;288;0;1;1;1
20231211122716;IRN;BRAGA;BARCELOS;Braga;Barcelos;ER Barcelos;REGISTOS;B;Cartão de Cidadão - Levantamento;--;748;0;3;3;1
20231211122716;IRN;BRAGA;BARCELOS;Braga;Barcelos;ER Barcelos;REGISTOS;N;Registo Predial - Pedido;--;241;0;1;1;1
